#"time"	"Top model:Y_0.masse"	"Top model:Y_1.masse"	"Top model:Y_2.masse"	"Top model:Y_3.masse"	"Top model:Y_4.masse"	"Top model:Y_5.masse"	"Top model:Y_6.masse"	"Top model:Y_7.masse"	"Top model:Y_8.masse"	"Top model:Y_9.masse"	"Top model:Controleur.masse"	
54	0.553765338188069	0.376150819529156	0.536358437662738	0.541164157279581	0.916704460069776	0.258221490661801	0.343831763948813	0.531607592620516	0.309967465439047	0.451854327608748	NA
55	0.548255253596214	0.372408037718937	0.531021555486714	0.535779457156518	0.92045126798098	0.255652131117492	0.340410563714572	0.526317982377676	0.306883222281322	0.447358279559829	NA
56	0.542799995534871	0.368702497395248	0.525737776439791	0.530448335961448	0.924029536621829	0.253108337254999	0.337023405160797	0.521081004898005	0.303829668008455	0.442906968159038	NA
57	0.537399018468229	0.365033827997264	0.520506572134383	0.525170260572479	0.92744684724184	0.250589854690269	0.333669949565424	0.515896136474152	0.300806497259416	0.43849994826707	NA
58	0.532051782288679	0.361401662651318	0.515327419440464	0.519944703172392	0.930710440070037	0.24809643157043	0.330349861576746	0.510762858609772	0.297813407711592	0.434136779173857	NA
59	0.526757752262803	0.357805638134217	0.51019980043327	0.514771141195871	0.93382722965477	0.245627818548599	0.327062809179875	0.505680657967664	0.294850100050538	0.429817024554492	NA
60	0.521516398977892	0.354245394836917	0.505123202341499	0.509649057277228	0.936803819513523	0.243183768758946	0.323808463663546	0.50064902631845	0.291916277940056	0.425540252425591	NA
61	0.516327198289006	0.350720576728561	0.500097117496036	0.504577939198686	0.939646516123724	0.240764037792014	0.320586499587243	0.495667460489737	0.289011647992557	0.421306035102102	NA
62	0.511189631266562	0.347230831320874	0.495121043279181	0.499557279839139	0.942361342284234	0.238368383670269	0.317396594748649	0.490735462315811	0.286135919739719	0.417113949154529	NA
63	0.506103184144443	0.343775809632919	0.490194482074391	0.494586577123442	0.944954049875798	0.235996566823906	0.314238430151434	0.485852538587812	0.283288805603445	0.412963575366593	NA
64	0.501067348268608	0.340355166156194	0.485316941216513	0.489665333972214	0.947430132047518	0.233648350066892	0.311111689973346	0.481018201004416	0.280470020867104	0.408854498693305	NA
65	0.4960816200462	0.336968558820054	0.480487932942482	0.484793058252083	0.949794834855155	0.23132349857323	0.308016061534613	0.476231966122965	0.277679283647031	0.404786308219435	NA
66	0.491145500895295	0.333615648957582	0.475706974342656	0.47996926272658	0.952053168375855	0.229021779853525	0.304951235266738	0.471493355311232	0.27491631486441	0.400758597118508	NA
67	0.486258497194928	0.330296101271644	0.470973587312406	0.475193465007306	0.954209917323017	0.226742963731686	0.301916904681477	0.46680189469945	0.272180838217297	0.396770962612029	NA
68	0.481420120235768	0.327009583801385	0.466287298504354	0.470465187505735	0.956269651183601	0.224486822321922	0.298912766340207	0.462157115132955	0.269472580153012	0.392823005929236	NA
69	0.476629886171251	0.323755767889035	0.461647639281025	0.465783957385449	0.958236733899475	0.222253130005957	0.295938519823588	0.457558552125275	0.266791269840783	0.388914332267225	NA
70	0.471887315969186	0.320534328147034	0.457054145667993	0.461149306514852	0.960115333113254	0.220041663410463	0.292993867701513	0.453005745811677	0.264136639144663	0.385044550751461	NA
71	0.467191935363858	0.317344942425505	0.452506358307474	0.456560771420361	0.961909428998258	0.217852201384725	0.290078515503372	0.448498240903186	0.261508422596717	0.381213274396697	NA
72	0.462543274808599	0.314187291780025	0.448003822412393	0.452017893240053	0.963622822691272	0.215684524978529	0.287192171688601	0.444035586641045	0.25890635737047	0.377420120068276	NA
73	0.457940869428831	0.311061060439744	0.443546087720908	0.447520217677782	0.965259144345981	0.213538417420259	0.284334547617526	0.439617336751646	0.256330183254629	0.373664708443809	NA
74	0.453384258975577	0.307965935775793	0.439132708451375	0.443067294957744	0.966821860824154	0.211413664095224	0.281505357522501	0.435243049401899	0.253779642627059	0.369946663975249	NA
75	0.44887298777944	0.304901608270034	0.434763243257777	0.438658679779507	0.968314283040852	0.209310052524196	0.278704318479331	0.430912287155053	0.251254480429023	0.366265614851334	NA
76	0.444406604705026	0.301867771484097	0.430437255185583	0.434293931273467	0.969739572979244	0.207227372342162	0.275931150378973	0.42662461692694	0.248754444139671	0.362621192960401	NA
77	0.439984663105842	0.298864122028741	0.426154311628057	0.429972612956774	0.971099420265793	0.205165415277285	0.273185575899536	0.422379609942678	0.24627928375079	0.359013033853581	NA
78	0.43560672077962	0.295890359533515	0.421913984282988	0.425694292689672	0.97239942889624	0.203123975130079	0.270467320478537	0.418176841693786	0.243828751741802	0.355440776708348	NA
79	0.4312723399241	0.292946186616717	0.417715849109869	0.42145854263229	0.973640960414644	0.201102847752786	0.267776112285451	0.414015891895732	0.241402603055016	0.351904064292436	NA
80	0.426981087093253	0.290031308855657	0.413559486287486	0.417264939201859	0.97482664524403	0.199101831028962	0.265111682194524	0.409896344445908	0.239000595071114	0.348402542928122	NA
81	0.422732533153926	0.287145434757215	0.409444480171936	0.413113063030346	0.975958995485483	0.197120724853267	0.262473763757862	0.405817787382019	0.236622487584894	0.34493586245685	NA
82	0.418526253242936	0.284288275728691	0.405370419255065	0.409002498922523	0.977040410240516	0.195159331111452	0.259862093178785	0.401779812840879	0.234268042781247	0.341503676204216	NA
83	0.414361826724582	0.281459546048942	0.40133689612331	0.404932835814441	0.97807318069403	0.193217453660545	0.257276409285449	0.397782017017631	0.231937025211377	0.338105640945302	NA
84	0.410238837148575	0.278658962839818	0.397343507416962	0.40090366673233	0.979059494968628	0.191294898309242	0.254716453504722	0.393824000125364	0.229629201769252	0.334741416870353	NA
85	0.4061568722084	0.27588624603786	0.393389853789832	0.396914588751894	0.980001442760578	0.189391472798484	0.252181969836333	0.389905366355132	0.227344341668298	0.331410667550794	NA
86	0.402115523700079	0.273141118366305	0.389475539869307	0.392965202958022	0.980901019767229	0.187506986782228	0.249672704827269	0.386025723836373	0.225082216418316	0.328113059905585	NA
87	0.398114387481351	0.270423305307354	0.385600174216818	0.389055114404893	0.981760131915279	0.185641251808419	0.247188407546428	0.382184684597723	0.222842599802633	0.324848264167919	NA
88	0.394153063431259	0.267732535074717	0.381763369288697	0.385183932076484	0.982580599398855	0.183794081300138	0.244728829559527	0.378381864528216	0.220625267855482	0.321615953852234	NA
89	0.390231155410137	0.265068538586439	0.377964741397415	0.381351268847464	0.983364160535932	0.181965290536949	0.24229372490426	0.374616883338873	0.218429998839602	0.318415805721573	NA
90	0.38634827121999	0.262431049437986	0.374203910673219	0.377556741444485	0.984112475451305	0.180154696636421	0.239882850065695	0.370889364524673	0.216256573224068	0.315247499755256	NA
91	0.382504022565284	0.259819803875609	0.370480501026142	0.37379997040785	0.984827129593878	0.178362118535847	0.237495963951928	0.3671989353269	0.214104773662333	0.312110719116878	NA
92	0.3786980250141	0.257234540769963	0.366794140108394	0.370080580053565	0.985509637095736	0.176587376974128	0.235132827869974	0.363545226695869	0.211974384970495	0.309005150122623	NA
93	0.374929897959709	0.254675001589997	0.363144459277122	0.366398198435777	0.986161443980134	0.174830294473856	0.23279320550189	0.359927873254018	0.209865194105781	0.305930482209898	NA
94	0.371199264582498	0.252140930377103	0.359531093557554	0.362752457309575	0.986783931225172	0.173090695323558	0.230476862881151	0.35634651325937	0.207776990145237	0.302886407906276	NA
95	0.367505751812286	0.249632073719513	0.355953681606493	0.359142992094161	0.987378417689661	0.171368405560131	0.228183568369247	0.352800788569361	0.205709564264637	0.299872622798745	NA
96	0.363848990291029	0.247148180726961	0.352411865676184	0.355569441836395	0.987946162907378	0.16966325295144	0.225913092632524	0.349290344605021	0.203662709717604	0.296888825503269	NA
97	0.360228614335868	0.244689003005593	0.348905291578542	0.3520314491747	0.988488369755632	0.167975066979099	0.223665208619245	0.345814830315516	0.20163622181493	0.293934717634649	NA
98	0.356644261902569	0.24225429463313	0.345433608649729	0.348528660303324	0.989006187003793	0.166303678821415	0.221439691536887	0.342373898143047	0.199629897904111	0.291010003776681	NA
99	0.35309557454932	0.23984381213427	0.341996469715086	0.345060724936957	0.989500711747172	0.164648921336507	0.219236318829662	0.338967203988089	0.197643537349076	0.288114391452618	NA
100	0.349582197400878	0.237457314456344	0.338593531054418	0.341627296275706	0.989972991731439	0.163010629045595	0.217054870156261	0.335594407174979	0.195676941510128	0.285247591095919	NA


