#"time"	"Top model:Controleur.acc"	
0	0
1	0.30938510376253
2	0.599625254235013
3	0.871114243660836
4	1.12535762665744
5	1.36325022246671
6	1.20351788294327
7	0.727259629931384
8	0.42508572675377
9	0.340934256299552
10	0.0357525615534835
11	0.0316237251149752
12	0.0296332758166337
13	0.0277833130605507
14	0.0260522132943764
15	0.0244320650064317
16	0.0229155712292633
17	0.0214959264409679
18	0.0201667823084416
19	0.0189222163546387
20	0.0177567028131015
21	0.0166650855115957
22	0.0156425526415162
23	0.0146846132799946
24	0.0137870755411464
25	0.0129460262417131
26	0.0121578119745406
27	0.0114190214909264
28	0.0107264692999158
29	0.0100771803991663
30	0.00946837605806977
31	0.00889746057945302
32	0.00836200897140807
33	0.00785975546565639
34	0.00738858282334736
35	0.00694651237340009
36	0.00653169473234376
37	0.00614240115824507
38	0.00577701549464717
39	0.00543402666355431
40	0.00511202166938316
41	0.00480967907848178
42	0.00452576294130687
43	0.00425911712666171
44	0.00400866003954521
45	0.00377337969615686
46	0.0035523291314559
47	0.00334462211639458
48	0.00314942916354471
49	0.00296597380132318
50	0.00279352909840297
51	0.00263141442117929
52	0.00247899240835347
53	0.00233566614780528
54	0.0022008765419546
55	0.00207409984877128
56	0.00195484538648164
57	0.0018426533908481
58	0.00173709301466758
59	0.00163776045984974
60	0.00154427723310111
61	0.00145628851686018
62	0.00137346164770324
63	0.00129548469497618
64	0.00122206513290495
65	0.00115292859989977
66	0.00108781773920189
67	0.00102649111541472
68	0.00096872220184412
69	0.00091429843391181
70	0.00086302032423159
71	0.000814700635238139
72	0.000769163605537559
73	0.00072624422640912
74	0.000685787565129901
75	0.000647648132019479
76	0.000611689288311832
77	0.000577782692157032
78	0.000545807780237414
79	0.000515651282652362
80	0.000487206768883774
81	0.000460374222801299
82	0.000435059644803435
83	0.000411174679318182
84	0.000388636266005838
85	0.000367366313117277
86	0.000347291391564332
87	0.000328342448355051
88	0.000310454538136259
89	0.000293566571669472
90	0.000277621080144062
91	0.00026256399430422
92	0.00024834443743398
93	0.000234914531307711
94	0.000222229214272334
95	0.000210246070682481
96	0.000198925170960992
97	0.000188228921604932
98	0.000178121924501911
99	0.000168570844963008
100	0.000159544287917489


