#"time"	"Top model:Controleur.acc"	"Top model:M_0.C2"	"Top model:M_1.C2"	"Top model:M_2.C2"	"Top model:M_3.C2"	"Top model:M_4.C2"	
29	0.0101340953486487	0.00159792402501621	0.00181072935697834	0.00202654506415341	0.00223264615468422	0.00240951159095104
30	0.00952174549681931	0.00147506506730872	0.0016849352430531	0.00190090550872549	0.00211105100559483	0.00229658426193891
31	0.00894751163360486	0.00136165231808966	0.00156788023695602	0.00178305521896324	0.0019960782136806	0.00218894953317229
32	0.00840895384205297	0.00125695949043236	0.0014589572196157	0.00167251128437398	0.00188736710982864	0.00208635935470963
33	0.00790379243198845	0.00116031613914852	0.00135760124944353	0.00156882073342934	0.00178457666781268	0.00198857730204351
34	0.00742989717705654	0.00107110336730535	0.00126328663219894	0.00147155867744056	0.00168738443449433	0.00189537803124669
35	0.0069852772890998	0.000988749862856142	0.00117552419441767	0.00138032656950994	0.00159548551829023	0.0018065467596562
36	0.00656807207848823	0.000912728239999395	0.00109385874625776	0.0012947505714206	0.00150859163272813	0.00172187877089494
37	0.00617654225267427	0.000842551661838868	0.00101786672060572	0.00121448002177421	0.00142643019209362	0.0016411789430919
38	0.00580906180860621	0.000777770722715786	0.000947153976197683	0.0011391859990997	0.00134874345633	0.00156426129921349
39	0.00546377631979131	0.000717913132602361	0.000881290295890731	0.00106849158620631	0.00127521630639643	0.00149087701293782
40	0.00513995295482815	0.000662715227185769	0.000820065722789918	0.00100224839712378	0.00120576503371194	0.00142100361635889
41	0.0048359064001877	0.000611761301470919	0.000763094513613405	0.000940112081840241	0.00114009624032394	0.00135440499798574
42	0.0045503933114885	0.000564725050255236	0.000710081180720262	0.000881828026822813	0.00107800392353335	0.00129092767776986
43	0.00428225065244183	0.000521305256836255	0.000660750764444002	0.000827157403793859	0.00101929330003149	0.00123042536885989
44	0.00403039037956392	0.000481223864041956	0.000614847406983073	0.000775876191093747	0.00096378019486582	0.00117275864047583
45	0.00379379448632803	0.000444224193573039	0.000572133025365341	0.000727774255716105	0.00091129046368391	0.0011177945965834
46	0.00357151038199469	0.000410069302253914	0.000532386076603735	0.000682654492254078	0.000861659446443444	0.00106540656962807
47	0.0033626465820914	0.000378540464665986	0.000495400408638407	0.000640332015229268	0.000814731450874425	0.00101547382862301
48	0.00316636868912302	0.000349435772446129	0.000460984191105683	0.000600633401493778	0.000770359264073264	0.000967881300918068
49	0.00298189564359029	0.000322568841280324	0.000428958920388113	0.000563395979601015	0.000728403690696567	0.000922519307008783
50	0.00280849622678369	0.000297767617312196	0.000399158493785205	0.000528467163233305	0.000688733116306005	0.000879283307774126
51	0.0026454857981117	0.000274873275322736	0.00037142834800292	0.000495703825954943	0.000651223094494429	0.000838073663560569
52	0.00249222325092315	0.000253739201625247	0.000345624657493614	0.000464971714728638	0.000615755956498068	0.000798795404557208
53	0.00234810817189839	0.00023423005516205	0.00032161358848851	0.000436144899792123	0.00058222044207017	0.0007613580119328
54	0.00221257819012183	0.000216220900790279	0.00029927060485367	0.000409105258640723	0.000550511350458122	0.000725675209230315
55	0.0020851065029114	0.000199596409206389	0.000278479822169209	0.000383741992001429	0.000520529210389181	0.000691664763538263
56	0.00196519956637702	0.000184250118385758	0.000259133406681601	0.000359951169815071	0.000492179968029554	0.000659248295980587
57	0.00185239493951304	0.000170083751807692	0.000241131016011674	0.000337635305366203	0.000465374691937956	0.000628351101088389
58	0.00174625927140362	0.000157006589099791	0.000224379278717486	0.000316702955815638	0.000440029294088098	0.000598901974637213
59	0.00164638642184069	0.000144934885071343	0.000208791310012734	0.000297068347498715	0.000416064266084938	0.000570833049553131
60	0.00155239570632297	0.000133791333415263	0.000194286261128962	0.000278651024453935	0.000393404429747215	0.000544079639509474
61	0.00146393025702769	0.000123504571644175	0.000180788899984243	0.000261375518741739	0.000371978701273847	0.000518580089853762
62	0.00138065549192518	0.000114008724090279	0.00016822922098345	0.000245171041202494	0.000351719868254375	0.000494275635521281
63	0.00130225768474538	0.000105242980042403	0.000156542081926298	0.000229971191386549	0.000332564378823945	0.000471110265607886
64	0.00122844262900593	9.71512043186695e-05	0.000145666866139923	0.000215713685467723	0.000314452142301407	0.000449030594289888
65	0.00115893438977702	8.96815777808627e-05	0.000135547168083567	0.000202340101025229	0.000297326340685003	0.000427985737793454
66	0.00109347413729441	8.27862654886243e-05	0.000126130500795055	0.00018979563764871	0.000281133250414936	0.000407927197130702
67	0.00103181905692845	7.64211103678357e-05	0.000117368023660984	0.000178028892384456	0.000265822073842426	0.000388808746330741
68	0.000973741330400796	7.05453504320163e-05	0.000109214289099415	0.000166991649103647	0.000251344779877855	0.000370586325909637
