#"time"	"Top model:M_0.C1"	"Top model:M_0.C2"	"Top model:M_0.C3"	"Top model:M_1.C1"	"Top model:M_1.C2"	"Top model:M_1.C3"	"Top model:M_2.C1"	"Top model:M_2.C2"	"Top model:M_2.C3"	"Top model:M_3.C1"	"Top model:M_3.C2"	"Top model:M_3.C3"	"Top model:M_4.C1"	"Top model:M_4.C2"	"Top model:M_4.C3"	
10	0.449343343516433	0.00730679026653668	0.543349866217039	0.486764172419309	0.00733289156004533	0.50590293602065	0.527281624744018	0.344322118948989	0.128396256306992	0.571200107026527	0.313576897874759	0.115222995098711	0.618776263234417	0.279898024224335	0.101325712541249
11	0.414794858123597	0.00674463446397949	0.578460507412432	0.452947927311252	0.00661921673299366	0.54043285595576	0.494613946393387	0.0290819235251679	0.476304130081446	0.540091208723086	0.32550151474167	0.134407276535244	0.589775883686351	0.291739132636389	0.118484983677262
12	0.382902688575118	0.006226059994295	0.610871251430595	0.42148094802431	0.00615801065225717	0.572361041323438	0.463949404344742	0.00616638876206575	0.529884206893195	0.51067657402665	0.335087651113428	0.154235774859922	0.562134673944727	0.301571728561855	0.136293597493419
13	0.353462599756641	0.00574735934575263	0.640790040897612	0.392200027499845	0.00573019527210907	0.602069777228051	0.435185969504879	0.0056436094302761	0.559170421064847	0.482863929365141	0.342561030897519	0.174575039737341	0.535788933375572	0.309574596298159	0.154636470326272
14	0.326286059498936	0.0053054643820973	0.668408476118972	0.364953296921045	0.00533210985804605	0.629714593220914	0.408205779079256	0.00529278825475993	0.586501432665987	0.456566026601751	0.348129356062588	0.19530461733566	0.510677946822329	0.315913211185907	0.173408841991766
15	0.301199031231714	0.0048975452232799	0.693903423545012	0.339599438028069	0.00496168010106233	0.655438881870874	0.382898277403757	0.00496464545647988	0.612137077139764	0.431717292980779	0.025184056029533	0.543098650989687	0.486743844684568	0.320740650462486	0.192515504852948
16	0.278040859466197	0.00452098958481622	0.717438150948994	0.316006950154859	0.00461698466135349	0.679376065183795	0.359159762925108	0.00465685268003777	0.636183384394855	0.40820495606423	0.00475871673196244	0.587036327203807	0.463931469554415	0.324198444706595	0.211870085738991
17	0.25666324096912	0.0041733860320182	0.73916337299887	0.294053468185977	0.00429623573648344	0.701650296077546	0.336892963267062	0.00436814214933178	0.658738894583608	0.385973156194143	0.00437276275403621	0.609654081051821	0.442188249103348	0.326417373631778	0.231394377264875
18	0.236929275039812	0.00385250853723271	0.759218216422963	0.273625127896169	0.00399776972575572	0.72237710237808	0.316006636641332	0.00409733078303187	0.679896032575636	0.364952152317886	0.00413376822184196	0.630914079460272	0.421464074926589	0.32751820975415	0.251017715319262
19	0.218712586808037	0.00355630222452093	0.777731110967449	0.254615975380511	0.00372003860133864	0.741663986018157	0.296415197969587	0.00384330888777422	0.699741493142641	0.345076001644174	0.00390862789012101	0.651015370465704	0.401730470128076	0.32761278694561	0.270656742926314
20	0.201896517938635	0.00328287021038431	0.794820611850989	0.236927417512509	0.0034616018792412	0.759610980608257	0.278038368184885	0.0036050355680374	0.71835659624708	0.326282352780891	0.00369575480522626	0.670021892413882	0.382902443259592	0.326804009964607	0.2902935467758
21	0.1863733795601	0.00303046145626179	0.810596158983646	0.220467710579653	0.00322111914807934	0.776311170272275	0.260800845275298	0.00338153446061975	0.735817620264084	0.30851225013906	0.00349447532520147	0.68799327453574	0.364956835381253	0.325186046442183	0.309857118176563
22	0.172043762632947	0.00279745955500727	0.825158777812054	0.20515148444425	0.00299734311688027	0.791851172438878	0.244631995721833	0.00317188973383252	0.752196114544335	0.291709948989433	0.00330415799826219	0.704985893012307	0.347852289887843	0.322846152994421	0.329301557117735
23	0.158815901341517	0.00258237237953686	0.838601726278957	0.190899299761511	0.00278911314586623	0.806311587092632	0.229465565066231	0.00297524233473233	0.767559192599037	0.275822740591538	0.00312420579958053	0.721053053608884	0.331549388447024	0.319864623786044	0.348585987766931
24	0.146605085432421	0.00238382252735643	0.851011092040234	0.17763723595838	0.00259534922666465	0.819767414814963	0.215239406422687	0.00279078646901377	0.7819698071083	0.260800786846604	0.00295405421994535	0.736245158933453	0.316010560157699	0.316315284155311	0.367674155686989
25	0.135333117736296	0.00220053849977716	0.862466343763938	0.165296507836093	0.00241504638072214	0.832288445783192	0.201895225821003	0.0026177662991378	0.79548700787986	0.246596963955678	0.00279316949464361	0.750609866549682	0.301199994965875	0.312265951360175	0.386534053673947
26	0.124927813398865	0.00203134655933113	0.873040840041813	0.153813108807937	0.00224726944686921	0.8439396217452	0.189378343337678	0.00245547284716601	0.808166183815156	0.233166714592486	0.00264104692904111	0.764192238478477	0.287083561138497	0.307778864554113	0.405137574307389
27	0.115322537614426	0.00187516321324271	0.882802299172342	0.143127478921829	0.00209114823100075	0.854781372847179	0.177637469036143	0.00230324108960963	0.820059289874248	0.22046790812731	0.00249720931535788	0.777034882557341	0.273628726605054	0.302911085968118	0.423460187426827
28	0.106455778901447	0.00173098827482028	0.891813232823745	0.133184195945863	0.00194587299271553	0.86486993106143	0.166624492798003	0.00216044723238902	0.83121505996961	0.208460708463396	0.00236120543566953	0.789178086100945	0.260804483985702	0.297714875151678	0.441480640862619
29	0.0982707551875452	0.00159789845833407	0.900131346354134	0.123931687914617	0.00181069024550576	0.874257621839887	0.156294287184101	0.00202650615473713	0.841679206661166	0.197107449071304	0.00223260864643872	0.800659942282268	0.24858127913311	0.292238038009332	0.459180682857557
30	0.0907150501812654	0.00147504146636204	0.907809908352386	0.115321965645302	0.00168489884871383	0.882993135505994	0.146604522517586	0.00190086901157324	0.851494608470846	0.186372514829186	0.00211101554013641	0.811516469630689	0.236930943023359	0.286524252260459	0.476544804716181
31	0.083740277701992	0.00136163053173971	0.914898091766281	0.107310373836421	0.00156784637098667	0.891121779792601	0.137515493431265	0.00178302098452207	0.860701485584217	0.176222230298306	0.00199604467975428	0.82178172502195	0.225826626838936	0.280613370847648	0.493560002313414
32	0.077301771818398	0.00125693937916094	0.921441288802454	0.0998553594579804	0.00145892570636659	0.898685714835663	0.128989956168479	0.00167247917236277	0.869337564659164	0.166624754083354	0.00188733540223863	0.831487910514419	0.215242740094206	0.274541704723045	0.510215555182747
33	0.071358300811119	0.00116029757416454	0.927481401614728	0.0929182562320066	0.00135757192546763	0.905724171842538	0.120992975970859	0.00156879061226398	0.877438233416881	0.157549978946161	0.00178454668709244	0.840665474366757	0.205154891660818	0.268342286352021	0.526502821987157
34	0.0658718031277807	0.00107108622972001	0.933057110642509	0.0864630840854366	0.0012632593454041	0.91227365656917	0.113491783927455	0.00147153042369472	0.885036685648854	0.148969437359341	0.00168735608659447	0.849343206554076	0.195539833556946	0.262045115188932	0.542415051254119
35	0.0608071436396785	0.000988734042921602	0.938204122317409	0.0804563625354618	0.00117549880327785	0.918368138661271	0.106455642698948	0.00138030006740937	0.892164057233645	0.140856212203889	0.00159545871428353	0.85754832908184	0.186375407371194	0.255677386300746	0.557947206328056
36	0.0561318886389664	0.000912713636405958	0.942955397724639	0.0748669370391796	0.00109383511907892	0.924039227841752	0.0998557205664344	0.00129472571236868	0.898849553721198	0.133184852330267	0.00150856628853054	0.865306581381214	0.177640493197324	0.249263703239613	0.573095803563059
37	0.0518160981355706	0.000842538181066189	0.947341363683374	0.0696658174070197	0.00101784473484282	0.929316337858148	0.0936649732888262	0.00121445670390698	0.90512057000727	0.125931292718273	0.00142640622820051	0.872642301053539	0.169314960962311	0.242826276195911	0.587858762841776
38	0.0478321341236902	0.000777758278433987	0.951390107597886	0.064826027441838	0.000947133517819062	0.934226839040353	0.0878580332847303	0.00113916412686846	0.911002802588403	0.119072778985178	0.00134872079756674	0.879578500217267	0.161379624035522	0.236385106397872	0.602235269566606
39	0.0441544835900349	0.000717959082764795	0.95512755732721	0.060322465023808	0.000881334716256935	0.938796200259947	0.0824111056847079	0.00106853945782441	0.91652035485747	0.112587796005335	0.00127526629779505	0.886136937696882	0.153808811834748	0.229951743350367	0.616239444814884
40	0.0407595951303594	0.000662757644396088	0.958577647225254	0.0561317719154282	0.000820107057205931	0.943048121027379	0.0773018708279742	0.00100229330084894	0.921695835871179	0.106456000417331	0.00120581230246167	0.892338187280219	0.146600206421022	0.223555139401432	0.629844654177545
41	0.0376257281279984	0.000611800457365828	0.961762471414646	0.052232212611373	0.000763132976464865	0.947004654412176	0.0725093928040045	0.000940154201672668	0.926550452994326	0.100658156806957	0.00114014093470664	0.898201702258349	0.139729448958859	0.217203212441755	0.643067338599384
42	0.0347328135285521	0.000564761195586213	0.964702425275872	0.0486035616048281	0.000710116971499111	0.950686321423688	0.068014033664277	0.000881867535355293	0.93110409880037	0.0951760773658048	0.00107804618375507	0.903745876450452	0.133180705423254	0.210908725733352	0.655910568843391
43	0.0320623253191338	0.000521338623075347	0.9674163360578	0.0452269984856041	0.000660784068783176	0.954112217445628	0.063797372952624	0.000827194462918951	0.93537543258446	0.0899925648361918	0.00101933325866237	0.908988101905158	0.126938883887376	0.204682979120086	0.668378136992537
44	0.0295971618891429	0.000481254664864112	0.969921583446002	0.0420850103259437	0.000614878397619308	0.957300111276452	0.0598421322244552	0.000775910952667166	0.939381956822881	0.0850913585634481	0.000963817977255884	0.913944823459307	0.12098959974242	0.198535928003166	0.680474472254414
45	0.0273215365128045	0.000444252626224464	0.972234210860976	0.0391613008477349	0.000572161863035088	0.960266537289244	0.0561321042455539	0.000727806862178981	0.943140088892272	0.0804570834863172	0.000911326188356343	0.918631590325337	0.115319142547518	0.192476293806076	0.692204563646408
46	0.0252208762521361	0.000410095548815221	0.974369028199054	0.0364407059000149	0.000532412910876841	0.963026881189121	0.0526520865803327	0.000682685077216632	0.946665228342454	0.0760752019054601	0.000861693225466376	0.923063104869084	0.109914444433294	0.186511666498686	0.703573889068023
47	0.0232817286329212	0.000378564693218231	0.976339706673867	0.0339091148083807	0.000495425378693874	0.965595459812939	0.049387819297411	0.000640360704018295	0.949971819998574	0.0719319678787605	0.000814763390212497	0.927253268731037	0.104763049986272	0.180648599713671	0.714588350300059
48	0.0214916754960516	0.000349458138147181	0.978158866365807	0.0315533971883753	0.000461007426453535	0.967985595385185	0.0463259265372557	0.0006006603116662	0.953073413151081	0.0680143841003682	0.000770389463920028	0.93121522643572	0.0998530875447117	0.174892698953974	0.725254213501317
49	0.0198392534725472	0.000322589487358492	0.979838157040099	0.0293613348432588	0.000428980541541118	0.970209684615215	0.0434538617024485	0.000563421221425588	0.955982717076128	0.0643101611282115	0.000728432245788803	0.934961406626007	0.0951732418397372	0.169248703357871	0.735578054802396
50	0.0183138805729822	0.000297786675983451	0.981388332751041	0.0273215583929444	0.000399178612883928	0.972279262994187	0.0407598560459872	0.000528490840142459	0.958711653113872	0.0608076788320744	0.000688760116220908	0.938503561051711	0.0907127279186952	0.163720561458004	0.745566710623306
51	0.0169057884212008	0.000274890868637411	0.982819320710169	0.0254234883054186	0.000371447069397349	0.974205064625199	0.0382328704469546	0.000495726034968618	0.961271403518076	0.0574959499413018	0.000651248623930602	0.941852801434774	0.0864612662906632	0.158311501342478	0.755227232366864
52	0.0156059596983527	0.000253755442249637	0.984140284859405	0.023657280024798	0.000345642078284386	0.975997077896931	0.0358625501759475	0.000464992546851832	0.963672457277199	0.0543645855777835	0.000615780095541237	0.945019634326681	0.0824090592368167	0.153024095599601	0.764566845163588
53	0.0144060703966453	0.000234245047099923	0.985359684556262	0.0220137729114232	0.000321629799030533	0.977664597289561	0.0336391824649097	0.000436164440387808	0.9659246530947	0.0514037626660913	0.0005822432664444	0.948013994067471	0.0785467682310651	0.147860321403037	0.773592910365901
54	0.0132984365130077	0.000216234740048905	0.98648532874695	0.0204844427291614	0.000299285689224761	0.979216271581628	0.0315536567075039	0.000409123587779629	0.968037219704713	0.0486041931185374	0.000550532931763369	0.950845273949707	0.0748654924189257	0.142821616070881	0.782312891510196
55	0.012275964841299	0.000199609184411366	0.987524425974296	0.0190613574334889	0.000278493858606169	0.980660148707918	0.0295974271269401	0.000383759184790147	0.970018813688266	0.0459570946984865	0.000520549616325899	0.953522355685196	0.0713567481050292	0.137908928410355	0.79073432348462
56	0.0113321075479365	0.000184261911348561	0.98848363054072	0.017737136031042	0.000259146467986002	0.982003717500985	0.0277624777582817	0.000359967296703815	0.971877554945011	0.0434541634705201	0.000492199262611069	0.956053637266877	0.0680124492019956	0.133122766139443	0.798864784658565
57	0.0104608202400498	0.00017009463804959	0.989369085121906	0.016504910297257	0.000241143169927456	0.983253946532827	0.0260412896017415	0.000337650432437491	0.973621059965817	0.0410875477510303	0.000465392935691281	0.958447059313285	0.0648248885956174	0.128463239657648	0.806711871746738
