#"time"	"Top model:M_0.C2"	"Top model:M_1.C2"	"Top model:M_2.C2"	"Top model:M_3.C2"	"Top model:M_4.C2"	"Top model:Controleur.acc"	
66	8.27915642388123e-05	0.000126136858249643	0.00018980414106081	0.000281144271481965	0.00040794090417066	0.00108781773920189
67	7.64260017150966e-05	0.000117373939453562	0.000178036868611183	0.000265832494676281	0.000388821810958595	0.00102649111541472
68	7.0549865700179e-05	0.000109219793912913	0.000166999130828871	0.000251354633168644	0.000370598778233513	0.00096872220184412
69	6.51255258500605e-05	0.000101632129226598	0.000156645698810311	0.000237665269974915	0.000353229810049926	0.00091429843391181
70	6.01182450902403e-05	9.4571591110745e-05	0.000146934147704729	0.000224721461626494	0.000336674878699382	0.00086302032423159
71	5.54959571620388e-05	8.80015592832557e-05	0.000137824682871497	0.000212482603456863	0.000320895832464485	0.000814700635238139
72	5.1229061272629e-05	8.1887957528553e-05	0.000129279976815201	0.000200910302224928	0.000305856307696249	0.000769163605537559
73	4.72902325337306e-05	7.61990769574239e-05	0.000121265016230233	0.000189968255675606	0.000291521645012126	0.00072624422640912
74	4.36542469750304e-05	7.09054115452671e-05	0.00011374695852815	0.000179622138659822	0.000277858809421632	0.000685787565129901
75	4.02978200117263e-05	6.59795050957488e-05	0.000106694997259885	0.000169839495456667	0.000264836314195452	0.000647648132019479
76	3.71994573317539e-05	6.13958088361241e-05	0.00010008023588138	0.000160589637959964	0.00025242414830261	0.000611689288311832
77	3.43393172477891e-05	5.71305489056295e-05	9.38755693453542e-05	0.000151843549409814	0.000240593707248445	0.000577782692157032
78	3.16990836325384e-05	5.31616030496547e-05	8.80555730340159e-05	0.000143573793367158	0.000229317727154047	0.000545807780237414
79	2.92618486236023e-05	4.94683858801606e-05	8.25963985776098e-05	0.000135754427645796	0.000218570221925193	0.000515651282652362
80	2.70120043467657e-05	4.60317421072269e-05	7.74756761318898e-05	0.000128360922931868	0.000208326423366024	0.000487206768883774
81	2.49351429643157e-05	4.28338471879681e-05	7.26724227140895e-05	0.00012137008583551	0.000198562724099415	0.000460374222801299
82	2.30179644083062e-05	3.98581148775196e-05	6.81669562217794e-05	0.000114759986133304	0.000189256623162526	0.000435059644803435
83	2.12481912078979e-05	3.70891112025959e-05	6.39408147822917e-05	0.000108509887973259	0.000180386674152138	0.000411174679318182
84	1.96144898653361e-05	3.45124744114375e-05	5.99766811022298e-05	0.000102600184826549	0.000171932435800285	0.000388636266005838
85	1.81063982770623e-05	3.2114840484955e-05	5.62583115070784e-05	9.70123379819201e-05	0.000163874424866261	0.000367366313117277
86	1.67142587351704e-05	2.98837738227286e-05	5.27704693801369e-05	9.17288183898373e-05	0.000156194071236459	0.000347291391564332
87	1.54291560801537e-05	2.78077027443546e-05	4.94988627280365e-05	8.67330516739416e-05	0.000148873675128565	0.000328342448355051
88	1.42428606088774e-05	2.58758594716129e-05	4.64300856169992e-05	8.2009366137306e-05	0.000141896366301463	0.000310454538136259
89	1.31477753721635e-05	2.40782242801624e-05	4.35515632398732e-05	7.75429436003963e-05	0.000135246065176877	0.000293566571669472
90	1.21368875244854e-05	2.24054735311046e-05	4.0851500388839e-05	7.33197729165105e-05	0.000128907445783123	0.000277621080144062
91	1.12037234142197e-05	2.08489313128717e-05	3.83188331226517e-05	6.93266060188769e-05	0.0001228659004356	0.00026256399430422
92	1.0342307126856e-05	1.94005244426278e-05	3.59431834303641e-05	6.55509163615304e-05	0.000117107506072602	0.00024834443743398
93	9.54712221567866e-06	1.8052740593789e-05	3.37148167057598e-05	6.19808596235959e-05	0.000111618992168887	0.000234914531307711
94	8.81307637484689e-06	1.67985893324899e-05	3.16246018582408e-05	5.86052365537093e-05	0.000106387710153047	0.000222229214272334
95	8.13546882864149e-06	1.56315658609049e-05	2.96639738967167e-05	5.54134578380178e-05	0.000101401604258201	0.000210246070682481
96	7.50996022804206e-06	1.4545617279376e-05	2.78248988331781e-05	5.23955108815514e-05	9.66491837388441e-05	0.000198925170960992
97	6.9325448618542e-06	1.35351111923622e-05	2.60998407621405e-05	4.95419283987598e-05	9.21194963898156e-05	0.000188228921604932
98	6.39952500442881e-06	1.25948064953809e-05	2.44817309810605e-05	4.68437587146812e-05	8.78021033063593e-05	0.000178121924501911
99	5.90748723569831e-06	1.17198261914245e-05	2.29639390251921e-05	4.42925376835795e-05	8.36870548271135e-05	0.000168570844963008
100	5.45328058188489e-06	1.09056320958622e-05	2.15402454981921e-05	4.18802621369591e-05	7.97648676045903e-05	0.000159544287917489


